title,rating,url
EXILES SUITES,4.8,https://www.google.com/travel/hotels/Sliema%20Center/entity/CgsIg4qd0P7h7Y6eARABGl9BR1pJRWdiN2hlNkJ3X3pNbnBEajhTUnRRa1QyN1dpMWdtMU1LZUJjZnFZRHM5YnIyejJmUlZvOFMxSHE4S3ZhNnAyR0doLVBURXV1WGljQVh5czZod3NwSlNtZXZwOA?utm_campaign=sharing&utm_medium=link&utm_source=htls&hrf=CgUIlgEQACIDRVVSKhYKBwjkDxALGAcSBwjkDxALGAgYASgAsAEAWAFoAZoBNhINU2xpZW1hIENlbnRlcholMHgxMzBlNDUzZWI2MzJkODQzOjB4NjJkYmE5MmUyYTc3ODg3N6IBEwoJL20vMDVmN3B0EgZTbGllbWE&rp=SAI&ap=MABoAA&ved=0CAkQyvcEahgKEwjI6t3_ktXsAhUAAAAAHQAAAAAQsQE
Plaza Hotel,3.7,https://www.google.com/travel/hotels/Sliema%20Center/entity/CgoIx4Sku7jplq0oEAEaX0FHWklFZ1lKZ3BVaEVaM2t0ZFdjYnVub015Mktkbm5xZWlZWG1kVjRreHE4OUVFbm8xV2d4MFlkZUNyZVdKcnU1T3JrQzJQLXhibksyMDhoc3lCc29lMkFNU3RNVl9F?utm_campaign=sharing&utm_medium=link&utm_source=htls&hrf=CgUIlgEQACIDRVVSKhYKBwjkDxALGAcSBwjkDxALGAgYASgAsAEAWAFoAZoBNhINU2xpZW1hIENlbnRlcholMHgxMzBlNDUzZWI2MzJkODQzOjB4NjJkYmE5MmUyYTc3ODg3N6IBEwoJL20vMDVmN3B0EgZTbGllbWE&rp=SAI&ap=MABoAA&ved=0CBgQyvcEahgKEwjI6t3_ktXsAhUAAAAAHQAAAAAQsQE
AX The Victoria Hotel,4.5,https://www.google.com/travel/hotels/Sliema%20Center/entity/ChcI84CUn-CGmfJ9GgsvZy8xdGZ5NHkyORAB?utm_campaign=sharing&utm_medium=link&utm_source=htls&hrf=CgUIlgEQACIDRVVSKhYKBwjkDxALGAcSBwjkDxALGAgYASgAsAEAWAFoAZoBNhINU2xpZW1hIENlbnRlcholMHgxMzBlNDUzZWI2MzJkODQzOjB4NjJkYmE5MmUyYTc3ODg3N6IBEwoJL20vMDVmN3B0EgZTbGllbWE&rp=SAI&ap=MABoAA&ved=0CDAQyvcEahgKEwjI6t3_ktXsAhUAAAAAHQAAAAAQsQE
AX The Palace Malta,4.5,https://www.google.com/travel/hotels/Sliema%20Center/entity/ChkIofyTguW3v7L7ARoML2cvMXB0d3I1enI0EAE?utm_campaign=sharing&utm_medium=link&utm_source=htls&hrf=CgUIlgEQACIDRVVSKhYKBwjkDxALGAcSBwjkDxALGAgYASgAsAEAWAFoAZoBNhINU2xpZW1hIENlbnRlcholMHgxMzBlNDUzZWI2MzJkODQzOjB4NjJkYmE5MmUyYTc3ODg3N6IBEwoJL20vMDVmN3B0EgZTbGllbWE&rp=SAI&ap=MABoAA&ved=0CE4QyvcEahgKEwjI6t3_ktXsAhUAAAAAHQAAAAAQsQE
Mr. Todd Hotel,4.6,https://www.google.com/travel/hotels/Sliema%20Center/entity/ChoI6ImQ5v76_qbLARoNL2cvMTFnbDF5a2hzeBAB?utm_campaign=sharing&utm_medium=link&utm_source=htls&hrf=CgUIlgEQACIDRVVSKhYKBwjkDxALGAcSBwjkDxALGAgYASgAsAEAWAFoAZoBNhINU2xpZW1hIENlbnRlcholMHgxMzBlNDUzZWI2MzJkODQzOjB4NjJkYmE5MmUyYTc3ODg3N6IBEwoJL20vMDVmN3B0EgZTbGllbWE&rp=SAI&ap=MABoAA&ved=0CGQQyvcEahgKEwjI6t3_ktXsAhUAAAAAHQAAAAAQsQE
Plaza Hotel,3.7,https://www.google.com/travel/hotels/Sliema%20Center/entity/ChcIx4Sku7jplq0oGgsvZy8xdGY2MnExORAB?utm_campaign=sharing&utm_medium=link&utm_source=htls&hrf=CgUIlgEQACIDRVVSKhYKBwjkDxALGAcSBwjkDxALGAgYASgAsAEAWAFoAZoBNhINU2xpZW1hIENlbnRlcholMHgxMzBlNDUzZWI2MzJkODQzOjB4NjJkYmE5MmUyYTc3ODg3N6IBEwoJL20vMDVmN3B0EgZTbGllbWE&rp=SAI&ap=MABoAA&ved=0CHwQyvcEahgKEwjI6t3_ktXsAhUAAAAAHQAAAAAQsQE
Preluna,4.0,https://www.google.com/travel/hotels/Sliema%20Center/entity/ChgIsMWn5uuY-dKKARoLL2cvMXcxNDExd3YQAQ?utm_campaign=sharing&utm_medium=link&utm_source=htls&hrf=CgUIlgEQACIDRVVSKhYKBwjkDxALGAcSBwjkDxALGAgYASgAsAEAWAFoAZoBNhINU2xpZW1hIENlbnRlcholMHgxMzBlNDUzZWI2MzJkODQzOjB4NjJkYmE5MmUyYTc3ODg3N6IBEwoJL20vMDVmN3B0EgZTbGllbWE&rp=SAI&ap=MABoAA&ved=0CJQBEMr3BGoYChMIyOrd_5LV7AIVAAAAAB0AAAAAELEB
Two Pillows Boutique Hostel,4.7,https://www.google.com/travel/hotels/Sliema%20Center/entity/ChgI0t7fxqag3L88GgwvZy8xMmhzbGJsMzEQAQ?utm_campaign=sharing&utm_medium=link&utm_source=htls&hrf=CgUIlgEQACIDRVVSKhYKBwjkDxALGAcSBwjkDxALGAgYASgAsAEAWAFoAZoBNhINU2xpZW1hIENlbnRlcholMHgxMzBlNDUzZWI2MzJkODQzOjB4NjJkYmE5MmUyYTc3ODg3N6IBEwoJL20vMDVmN3B0EgZTbGllbWE&rp=SAI&ap=MABoAA&ved=0CKwBEMr3BGoYChMIyOrd_5LV7AIVAAAAAB0AAAAAELEB
Pebbles Boutique Aparthotel,4.3,https://www.google.com/travel/hotels/Sliema%20Center/entity/ChcItJj1nfC12-RgGgsvZy8xdGRrNzhreBAB?utm_campaign=sharing&utm_medium=link&utm_source=htls&hrf=CgUIlgEQACIDRVVSKhYKBwjkDxALGAcSBwjkDxALGAgYASgAsAEAWAFoAZoBNhINU2xpZW1hIENlbnRlcholMHgxMzBlNDUzZWI2MzJkODQzOjB4NjJkYmE5MmUyYTc3ODg3N6IBEwoJL20vMDVmN3B0EgZTbGllbWE&rp=SAI&ap=MABoAA&ved=0CMQBEMr3BGoYChMIyOrd_5LV7AIVAAAAAB0AAAAAELEB
Palazzo Violetta,4.4,https://www.google.com/travel/hotels/Sliema%20Center/entity/ChoI8t7i-vu0-J6hARoNL2cvMTFiXzJwaGhoXxAB?utm_campaign=sharing&utm_medium=link&utm_source=htls&hrf=CgUIlgEQACIDRVVSKhYKBwjkDxALGAcSBwjkDxALGAgYASgAsAEAWAFoAZoBNhINU2xpZW1hIENlbnRlcholMHgxMzBlNDUzZWI2MzJkODQzOjB4NjJkYmE5MmUyYTc3ODg3N6IBEwoJL20vMDVmN3B0EgZTbGllbWE&rp=SAI&ap=MABoAA&ved=0CNwBEMr3BGoYChMIyOrd_5LV7AIVAAAAAB0AAAAAELEB
The Waterfront Hotel,4.2,https://www.google.com/travel/hotels/Sliema%20Center/entity/ChkIgeKG6J2Huu3VARoML2cvMXlnYmI4Z3Z6EAE?utm_campaign=sharing&utm_medium=link&utm_source=htls&hrf=CgUIlgEQACIDRVVSKhYKBwjkDxALGAcSBwjkDxALGAgYASgAsAEAWAFoAZoBNhINU2xpZW1hIENlbnRlcholMHgxMzBlNDUzZWI2MzJkODQzOjB4NjJkYmE5MmUyYTc3ODg3N6IBEwoJL20vMDVmN3B0EgZTbGllbWE&rp=SAI&ap=MABoAA&ved=0CPIBEMr3BGoYChMIyOrd_5LV7AIVAAAAAB0AAAAAELEB
The Maltese Sun,4.7,https://www.google.com/travel/hotels/Sliema%20Center/entity/ChoI1fTmi5jUzs_DARoNL2cvMTFmbDdwNWcxeBAB?utm_campaign=sharing&utm_medium=link&utm_source=htls&hrf=CgUIlgEQACIDRVVSKhYKBwjkDxALGAcSBwjkDxALGAgYASgAsAEAWAFoAZoBNhINU2xpZW1hIENlbnRlcholMHgxMzBlNDUzZWI2MzJkODQzOjB4NjJkYmE5MmUyYTc3ODg3N6IBEwoJL20vMDVmN3B0EgZTbGllbWE&rp=SAI&ap=MABoAA&ved=0CIoCEMr3BGoYChMIyOrd_5LV7AIVAAAAAB0AAAAAELEB
Roma Hotel,3.2,https://www.google.com/travel/hotels/Sliema%20Center/entity/ChgIvqiW2IGesbnIARoLL2cvMXZsNWNfZl8QAQ?utm_campaign=sharing&utm_medium=link&utm_source=htls&hrf=CgUIlgEQACIDRVVSKhYKBwjkDxALGAcSBwjkDxALGAgYASgAsAEAWAFoAZoBNhINU2xpZW1hIENlbnRlcholMHgxMzBlNDUzZWI2MzJkODQzOjB4NjJkYmE5MmUyYTc3ODg3N6IBEwoJL20vMDVmN3B0EgZTbGllbWE&rp=SAI&ap=MABoAA&ved=0CKACEMr3BGoYChMIyOrd_5LV7AIVAAAAAB0AAAAAELEB
Slimiza Suites Sliema,4.3,https://www.google.com/travel/hotels/Sliema%20Center/entity/ChkIyJDY1OHAh_2GARoML2cvMWhmMndmNjdfEAE?utm_campaign=sharing&utm_medium=link&utm_source=htls&hrf=CgUIlgEQACIDRVVSKhYKBwjkDxALGAcSBwjkDxALGAgYASgAsAEAWAFoAZoBNhINU2xpZW1hIENlbnRlcholMHgxMzBlNDUzZWI2MzJkODQzOjB4NjJkYmE5MmUyYTc3ODg3N6IBEwoJL20vMDVmN3B0EgZTbGllbWE&rp=SAI&ap=MABoAA&ved=0CLgCEMr3BGoYChMIyOrd_5LV7AIVAAAAAB0AAAAAELEB
Urban Rooms,4.3,https://www.google.com/travel/hotels/Sliema%20Center/entity/ChoI3dv0j-6hrITVARoNL2cvMTFmNWx5NXlrXxAB?utm_campaign=sharing&utm_medium=link&utm_source=htls&hrf=CgUIlgEQACIDRVVSKhYKBwjkDxALGAcSBwjkDxALGAgYASgAsAEAWAFoAZoBNhINU2xpZW1hIENlbnRlcholMHgxMzBlNDUzZWI2MzJkODQzOjB4NjJkYmE5MmUyYTc3ODg3N6IBEwoJL20vMDVmN3B0EgZTbGllbWE&rp=SAI&ap=EgNDQXcwA2gA&ved=0CAkQyvcEahgKEwjI6t3_ktXsAhUAAAAAHQAAAAAQzQI
